timestamp,indoor_temp_C,relative_humidity_%,CO2_ppm,light_lux,electricity_kWh
22/01/2024 00:00,17.2,52.5,390.0,21.0,13.9
22/01/2024 01:00,16.9,54.0,389.0,0.0,9.03
22/01/2024 02:00,17.3,56.2,380.0,26.0,6.89
22/01/2024 03:00,17.8,53.3,380.0,4.0,13.87
22/01/2024 04:00,16.9,52.5,380.0,42.0,9.27
22/01/2024 05:00,16.9,55.7,453.0,0.0,11.55
22/01/2024 06:00,17.8,55.7,428.0,35.0,9.66
22/01/2024 07:00,17.4,53.5,438.0,4.0,8.4
22/01/2024 08:00,20.8,43.6,822.0,337.0,36.08
22/01/2024 09:00,21.3,45.7,766.0,340.0,36.52
22/01/2024 10:00  ,20.8,40.7,784.0,344.0,33.85
22/01/2024 11:00,20.8,40.8,815.0,358.0,29.82
22/01/2024 12:00,21.1,42.8,763.0,360.0,33.91
22/01/2024 13:00,20.0,44.4,821.0,339.0,35.78
22/01/2024 14:00,20.1,45.9,793.0,350.0,32.04
22/01/2024 15:00,20.7,49.4,789.0,393.0,35.37
22/01/2024 16:00,20.5,47.6,821.0,385.0,34.97
22/01/2024 17:00,21.2,44.5,813.0,359.0,36.16
22/01/2024 18:00,20.5,44.9,789.0,351.0,35.24
22/01/2024 19:00,16.3,52.0,435.0,2.0,10.05
22/01/2024 20:00,17.7,54.9,380.0,12.0,14.39
22/01/2024 21:00,16.9,54.1,418.0,0.0,11.68
22/01/2024 22:00,17.0,56.0,418.0,0.0,11.95
22/01/2024 23:00,16.3,52.5,391.0,0.0,10.13
23/01/2024 00:00,16.7,56.6,410.0,8.0,11.11
23/01/2024 01:00  ,17.1,59.6,380.0,13.0,10.23
23/01/2024 02:00,16.4,54.7,428.0,0.0,11.65
23/01/2024 03:00,17.2,56.2,394.0,31.0,15.42
23/01/2024 04:00,16.7,57.1,384.0,0.0,9.26
23/01/2024 05:00,16.9,53.8,431.0,0.0,8.77
23/01/2024 06:00,16.7,55.7,380.0,4.0,14.94
23/01/2024 07:00,17.9,55.0,380.0,21.0,11.58
23/01/2024 08:00,21.0,45.3,753.0,384.0,33.66
23/01/2024 09:00,20.5,42.7,818.0,341.0,37.08
23/01/2024 10:00,21.4,45.1,762.0,372.0,33.79
23/01/2024 11:00,20.4,46.5,853.0,349.0,38.65
23/01/2024 12:00,21.1,49.4,738.0,347.0,36.36
23/01/2024 13:00,20.0,47.9,851.0,368.0,34.02
23/01/2024 14:00,20.3,51.5,806.0,363.0,39.31
23/01/2024 15:00,21.1,42.7,797.0,318.0,33.79
23/01/2024 16:00  ,21.4,47.6,784.0,380.0,36.48
23/01/2024 17:00,21.1,45.6,812.0,378.0,35.6
23/01/2024 18:00,20.9,51.6,799.0,337.0,37.6
23/01/2024 19:00,16.8,52.6,433.0,8.0,15.12
23/01/2024 20:00,16.3,52.5,403.0,10.0,12.06
23/01/2024 21:00,16.6,53.2,405.0,5.0,10.49
23/01/2024 22:00,16.8,48.6,389.0,0.0,12.92
23/01/2024 23:00,17.5,53.4,398.0,0.0,10.64
24/01/2024 00:00,17.2,52.7,409.0,0.0,16.03
24/01/2024 01:00,16.1,55.5,380.0,23.0,12.27
24/01/2024 02:00,17.2,56.0,380.0,11.0,11.27
24/01/2024 03:00,16.8,60.6,422.0,0.0,12.37
24/01/2024 04:00,,57.9,405.0,15.0,9.31
24/01/2024 05:00,17.3,53.3,394.0,0.0,10.06
24/01/2024 06:00,17.5,52.3,401.0,23.0,14.4
24/01/2024 07:00  ,17.5,56.5,410.0,0.0,10.69
24/01/2024 08:00,20.6,41.0,784.0,343.0,32.91
24/01/2024 09:00,20.8,50.5,777.0,328.0,36.07
24/01/2024 10:00,21.2,48.5,806.0,324.0,37.37
24/01/2024 11:00,,43.6,771.0,373.0,36.44
24/01/2024 12:00,20.8,39.9,812.0,341.0,36.99
24/01/2024 13:00,20.9,49.1,749.0,357.0,33.49
24/01/2024 14:00,20.4,44.7,831.0,349.0,32.16
24/01/2024 15:00,20.4,48.7,814.0,360.0,38.0
24/01/2024 16:00,21.4,40.2,808.0,352.0,34.35
24/01/2024 17:00,21.7,43.2,829.0,324.0,34.5
24/01/2024 18:00,21.0,45.0,850.0,370.0,37.66
24/01/2024 19:00,17.5,55.1,430.0,0.0,13.11
24/01/2024 20:00,17.2,53.6,380.0,0.0,12.91
24/01/2024 21:00,16.7,56.9,380.0,0.0,16.33
24/01/2024 22:00  ,17.2,51.8,381.0,30.0,10.71
24/01/2024 23:00,17.8,54.6,401.0,17.0,13.86
25/01/2024 00:00,,55.4,416.0,0.0,12.11
25/01/2024 01:00,17.8,56.5,380.0,0.0,12.54
25/01/2024 02:00,15.7,57.1,406.0,0.0,15.06
25/01/2024 03:00,85.3,51.6,380.0,42.0,13.02
25/01/2024 04:00,17.0,50.4,382.0,8.0,13.08
25/01/2024 05:00,16.9,58.8,380.0,9.0,14.15
25/01/2024 06:00,17.0,56.0,380.0,21.0,11.27
25/01/2024 07:00,16.0,52.8,380.0,5.0,10.32
25/01/2024 08:00,20.9,49.7,771.0,345.0,32.91
25/01/2024 09:00,21.2,45.3,832.0,346.0,31.07
25/01/2024 10:00,21.7,48.5,772.0,349.0,39.11
25/01/2024 11:00,20.7,45.2,879.0,349.0,32.79
25/01/2024 12:00,20.6,51.2,815.0,365.0,34.56
25/01/2024 13:00  ,20.7,50.3,806.0,351.0,34.45
25/01/2024 14:00,21.5,44.3,774.0,365.0,35.61
25/01/2024 15:00,21.2,47.9,821.0,348.0,36.63
25/01/2024 16:00,20.7,46.9,783.0,352.0,36.72
25/01/2024 17:00,21.3,49.1,804.0,310.0,33.83
25/01/2024 18:00,21.0,42.1,877.0,368.0,34.67
25/01/2024 19:00,17.5,57.1,397.0,7.0,12.57
25/01/2024 20:00,16.6,58.2,434.0,20.0,11.5
25/01/2024 21:00,16.8,49.7,380.0,0.0,15.21
25/01/2024 22:00,16.8,51.5,399.0,42.0,12.98
25/01/2024 23:00,16.3,48.9,453.0,0.0,13.47
26/01/2024 00:00,17.1,54.2,381.0,22.0,13.33
26/01/2024 01:00,17.1,57.2,454.0,0.0,14.35
26/01/2024 02:00,17.0,59.5,421.0,12.0,12.36
26/01/2024 03:00,16.9,55.2,383.0,0.0,9.41
26/01/2024 04:00,16.3,59.9,,,12.8
26/01/2024 05:00,16.8,50.9,,,10.7
26/01/2024 06:00,16.8,49.9,,,10.94
26/01/2024 07:00,16.6,54.8,,,13.17
26/01/2024 08:00,20.9,46.2,,,37.48
26/01/2024 09:00,21.2,44.9,,,35.04
26/01/2024 10:00,21.9,38.8,798.0,353.0,35.62
26/01/2024 11:00,,44.7,819.0,357.0,38.4
26/01/2024 12:00,21.1,41.1,805.0,398.0,35.48
26/01/2024 13:00,21.0,47.0,760.0,349.0,40.2
26/01/2024 14:00,20.0,46.1,811.0,354.0,36.13
26/01/2024 15:00,21.0,42.2,818.0,371.0,31.48
26/01/2024 16:00,21.0,43.5,817.0,372.0,36.51
26/01/2024 17:00,22.2,41.8,832.0,374.0,35.76
26/01/2024 18:00,20.9,44.8,825.0,363.0,37.58
26/01/2024 19:00,17.2,57.9,414.0,0.0,13.35
26/01/2024 20:00,17.0,52.0,398.0,33.0,11.72
26/01/2024 21:00,16.4,56.5,380.0,0.0,9.55
26/01/2024 22:00,17.6,53.4,413.0,6.0,11.58
26/01/2024 23:00,17.4,52.6,406.0,0.0,10.3
27/01/2024 00:00,17.4,54.7,408.0,0.0,10.84
27/01/2024 01:00,16.5,51.9,380.0,7.0,13.18
27/01/2024 02:00,17.7,53.3,380.0,6.0,15.34
27/01/2024 03:00,16.3,51.4,432.0,8.0,12.79
27/01/2024 04:00,17.3,60.9,399.0,32.0,9.61
27/01/2024 05:00,18.1,55.1,420.0,9.0,12.89
27/01/2024 06:00,16.5,52.9,401.0,0.0,14.39
27/01/2024 07:00,16.7,55.6,401.0,19.0,10.78
27/01/2024 08:00,,54.7,428.0,24.0,11.73
27/01/2024 09:00,16.7,54.3,385.0,0.0,12.03
27/01/2024 10:00,16.2,56.8,403.0,12.0,10.43
27/01/2024 11:00,17.0,57.3,386.0,14.0,13.3
27/01/2024 12:00,16.5,53.4,387.0,0.0,11.76
27/01/2024 13:00,17.2,53.3,391.0,28.0,12.84
27/01/2024 14:00,16.5,54.2,407.0,0.0,10.23
27/01/2024 15:00,17.8,48.1,386.0,3.0,11.13
27/01/2024 16:00,16.6,50.5,438.0,0.0,13.44
27/01/2024 17:00,16.8,59.1,380.0,0.0,11.25
27/01/2024 18:00,17.4,59.9,394.0,0.0,15.45
27/01/2024 19:00,16.4,54.3,387.0,0.0,11.2
27/01/2024 20:00,17.1,56.7,443.0,32.0,12.45
27/01/2024 21:00,17.7,55.9,406.0,0.0,13.87
27/01/2024 22:00,16.2,64.2,431.0,0.0,9.16
27/01/2024 23:00,17.1,58.4,380.0,0.0,8.48
28/01/2024 00:00,17.1,54.6,408.0,0.0,8.95
28/01/2024 01:00,17.4,52.1,427.0,0.0,14.53
28/01/2024 02:00,16.4,50.2,402.0,33.0,10.9
28/01/2024 03:00,16.3,55.6,432.0,20.0,17.12
28/01/2024 04:00,17.3,52.7,384.0,0.0,10.87
28/01/2024 05:00,17.1,50.7,442.0,45.0,12.37
28/01/2024 06:00,17.1,0.531,469.0,20.0,15.08
28/01/2024 07:00,17.2,0.518,389.0,0.0,16.01
28/01/2024 08:00,16.7,0.601,387.0,0.0,16.12
28/01/2024 09:00,17.1,0.576,444.0,46.0,14.42
28/01/2024 10:00,17.1,0.55,447.0,0.0,14.05
28/01/2024 11:00,16.6,0.594,384.0,0.0,13.19
28/01/2024 12:00,17.9,0.552,387.0,20.0,13.56
28/01/2024 13:00,17.2,0.524,392.0,49.0,10.9
28/01/2024 14:00,16.4,0.596,380.0,28.0,10.36
28/01/2024 15:00,17.3,0.566,380.0,11.0,11.99
