property_id,floor_area_m2,energy_efficiency_score,walls_eff_score,roof_eff_score,windows_eff_score,mainheat_eff_score
P1675,82.0,52,3,1,4,4
P1569,55.0,71,4,5,1,4
P2192,70.0,62,1,4,4,4
P0777,111.0,69,3,5,3,4
P2328,55.0,76,4,4,4,4
P1343,67.0,70,4,4,3,4
P1912,164.0,79,4,5,4,4
P1674,69.0,66,3,4,4,4
P2191,49.0,72,4,4,3,4
P0779,71.0,66,3,4,4,4
P0399,67.0,63,3,4,4,4
P1523,67.0,66,3,5,4,4
P2409,41.0,63,3,1,4,4
P0141,113.0,74,4,4,3,4
P1838,74.0,70,4,3,2,4
P0537,78.0,64,1,4,3,4
P2493,56.0,78,4,4,2,4
P1494,90.0,73,4,5,4,4
P2022,68.0,63,4,4,4,4
P2254,60.0,84,4,4,3,4
P0710,81.0,71,4,3,2,4
P2403,90.0,70,1,3,2,4
P1610,87.0,59,2,4,2,4
P2284,60.0,69,4,4,3,4
P1078,66.0,67,3,4,4,4
P0306,87.0,57,1,3,2,4
P2350,56.0,72,2,5,3,4
P2430,67.0,87,4,5,3,3
P1698,130.0,72,1,5,3,4
P2040,71.0,62,4,1,3,4
P2142,45.0,71,4,4,4,4
P1385,83.0,66,4,4,3,4
P1944,86.0,69,3,4,4,4
P2280,41.0,88,4,4,2,4
P1465,29.0,70,3,3,4,4
P0790,119.0,57,2,3,1,4
P1134,69.0,71,3,3,3,4
P1107,92.0,84,4,4,4,4
P0616,109.0,70,1,3,4,4
P1888,85.0,62,4,5,4,4
P1221,67.0,65,3,4,4,4
P1999,59.0,65,3,4,4,4
P1592,104.0,60,1,3,3,4
P1636,91.0,72,4,4,4,4
P1855,101.0,67,4,3,4,4
P0607,64.0,68,4,4,4,4
P1651,92.0,74,4,4,4,4
P1826,73.0,81,1,5,3,4
P0922,72.0,70,2,3,2,4
P2123,62.0,88,4,4,4,4
P0645,62.0,72,4,2,3,4
P1234,88.0,66,4,4,3,4
P0277,74.0,60,1,4,3,4
P0930,98.0,71,4,4,3,4
P2138,63.0,63,2,3,2,4
P1287,63.0,67,3,4,3,4
P0427,87.0,74,4,4,3,4
P2417,17.0,74,4,4,3,1
P2174,61.0,68,4,4,4,4
P1857,114.0,66,2,3,3,4
P0098,67.0,65,3,4,4,4
P1897,65.0,66,3,4,4,4
P1091,64.0,72,4,4,4,4
P1730,90.0,62,1,4,3,4
P2459,53.0,82,4,5,4,3
P1558,66.0,74,4,5,4,4
P0799,82.0,62,3,1,3,4
P0764,80.0,72,4,4,3,4
P1482,67.0,81,3,4,3,4
P1297,67.0,71,4,4,4,4
P0693,67.0,65,3,4,4,4
P1790,68.0,69,3,4,3,4
P0007,67.0,68,3,4,4,4
P1968,75.0,69,4,5,2,4
P0802,66.0,64,1,1,3,4
P0722,128.0,60,1,3,3,4
P1049,61.0,59,4,5,2,3
P2163,44.0,72,4,4,4,4
P1694,83.0,72,4,3,2,4
P2380,41.0,78,4,4,4,4
P2119,66.0,69,4,4,4,4
P1659,98.0,79,4,5,3,4
P2449,29.0,72,4,3,2,3
P0582,68.0,65,3,4,4,4
P0465,69.0,67,4,4,3,4
P1556,90.0,44,4,4,2,2
P0559,75.0,46,2,4,3,3
P2058,45.0,70,4,5,3,4
P1585,56.0,63,1,3,2,4
P1334,98.0,53,2,1,2,4
P2204,62.0,65,4,4,4,4
P2042,62.0,66,4,4,4,4
P0746,64.0,75,4,4,3,4
P0598,68.0,66,3,3,4,4
P2114,44.0,70,4,4,4,4
P0083,79.0,72,4,5,3,4
P2312,16.0,71,4,3,3,1
P2086,43.0,69,5,4,3,4
P1007,83.0,71,4,4,4,4
P1919,63.0,68,3,4,4,4
P0275,82.0,68,4,1,4,4
P0942,70.0,76,4,4,4,4
P2250,61.0,68,4,4,4,4
P2406,65.0,58,1,1,2,4
P0744,74.0,70,2,1,4,4
P0188,66.0,69,4,4,3,4
P1778,68.0,62,1,4,3,4
P0490,113.0,61,1,4,3,4
P2390,44.0,93,4,5,3,3
P1133,56.0,60,4,4,3,4
P0233,67.0,75,3,4,3,4
P0055,69.0,69,3,4,4,4
P1887,84.0,87,4,4,3,4
P1946,81.0,39,1,1,3,4
P1212,145.0,68,5,1,2,4
P2186,44.0,75,4,4,2,4
P0800,100.0,75,4,4,4,4
P1177,78.0,61,2,1,3,4
P0952,63.0,65,1,4,3,4
P1360,64.0,75,3,4,4,4
P0865,67.0,65,3,4,4,4
P0401,67.0,73,3,5,3,4
P2075,53.0,72,4,2,4,4
P0495,111.0,68,1,5,3,4
P0975,79.0,64,1,4,3,4
P1404,74.0,77,5,4,4,4
P1478,75.0,57,1,4,4,4
P2128,60.0,66,4,4,4,4
P0164,71.0,63,4,4,3,4
P2021,59.0,70,4,4,3,4
P1737,69.0,66,3,4,4,4
P1411,90.0,62,1,1,4,4
P0562,80.0,65,3,4,4,4
P0251,76.0,52,3,4,4,4
P2187,65.0,72,4,4,2,4
P1537,180.0,61,1,5,3,5
P1686,77.0,70,1,3,3,4
P0131,79.0,67,4,3,4,4
P0711,72.0,73,4,4,3,4
P0236,124.0,56,3,1,3,4
P0142,81.0,69,4,3,3,4
P2092,51.0,65,4,4,3,4
P1534,86.0,70,3,4,3,4
P1415,87.0,66,3,4,4,4
P2256,46.0,72,5,4,3,4
P0900,68.0,49,2,3,4,4
P1832,74.0,62,1,3,2,4
P2498,47.0,52,3,4,3,3
P0462,74.0,83,3,4,3,4
P0084,99.0,55,3,3,3,4
P0339,78.0,58,2,4,3,4
P1498,88.0,72,4,4,4,4
P0457,69.0,66,1,4,3,4
P0210,68.0,71,4,4,4,4
P1364,68.0,65,3,4,4,4
P2319,44.0,67,4,3,3,4
P2184,52.0,67,3,4,4,4
P2052,57.0,60,3,5,3,5
P1631,73.0,37,3,1,4,3
P1806,86.0,80,4,4,4,4
P0700,92.0,67,1,3,3,4
P2262,66.0,64,1,4,3,4
P1395,67.0,64,4,4,3,4
P0943,67.0,67,3,4,4,4
P2266,62.0,68,4,5,3,4
P1104,67.0,62,4,4,4,4
P0348,93.0,67,4,3,2,4
P2357,72.0,51,1,1,3,4
P1380,87.0,62,1,5,3,4
P0265,80.0,57,2,1,2,4
P2441,54.0,50,4,1,4,3
P2461,31.0,72,4,3,3,3
P1136,82.0,69,3,4,3,4
P0600,68.0,68,3,4,4,4
P2339,45.0,67,2,3,2,4
P0993,68.0,70,3,4,4,4
P1248,94.0,71,4,4,4,4
P0220,58.0,66,4,4,3,4
P1307,77.0,65,4,4,3,4
P1419,66.0,70,1,4,4,4
P1763,69.0,67,4,4,3,4
P1170,117.0,60,1,3,3,4
P0218,210.0,69,2,5,2,4
