property_id,postcode,property_type,built_form,construction_age,tenure,main_fuel,epc_rating,mains_gas,local_authority,latitude,longitude
P0001,NG3 1HA,House,Mid-Terrace,1900-1929,Owner-occupied,Mains Gas,C,Yes,Nottingham,52.957196,-1.138752
P0002,NG8 3AG,House,Mid-Terrace,1930-1949,Rented (social),Mains Gas,D,Yes,Nottingham,52.970018,-1.215839
P0006,NG7 6FD,House,End-Terrace,2003-2006,Rented (social),Mains Gas,C,Yes,Nottingham,52.969871,-1.172941
P0008,NG8 5PD,House,Mid-Terrace,1930-1949,Rented (social),Mains Gas,C,Yes,Nottingham,52.974857,-1.20418
P0010,NG7 1PU,House,Semi-Detached,1900-1929,Rented (private),Mains Gas,C,Yes,Nottingham,52.953683,-1.171806
P0011,NG7 7GX,House,Mid-Terrace,1900-1929,Owner-occupied,Mains Gas,F,Yes,Nottingham,52.976906,-1.168622
P0013,NG8 3EP,House,Detached,1950-1966,Owner-occupied,Mains Gas,D,Yes,Nottingham,52.970867,-1.209644
P0014,NG9 2TL,House,End-Terrace,1930-1949,Rented (private),Mains Gas,D,Yes,Nottingham,52.937135,-1.215851
P0015,NG5 3FJ,House,Semi-Detached,1900-1929,Rented (social),Mains Gas,D,Yes,Nottingham,52.987924,-1.141522
P0016,NG8 5RA,House,Semi-Detached,1930-1949,Rented (social),Mains Gas,D,Yes,Nottingham,52.974699,-1.207444
P0017,NG5 5PP,House,Semi-Detached,1950-1966,Owner-occupied,Mains Gas,C,Yes,Nottingham,53.007784,-1.158342
P0018,NG8 6DE,House,Mid-Terrace,1930-1949,Rented (social),Mains Gas,D,Yes,Nottingham,52.985413,-1.205863
P0019,NG3 3DF,House,Mid-Terrace,1967-1975,Rented (social),Mains Gas,C,No,Nottingham,52.969573,-1.126236
P0020,NG7 3JU,House,Detached,2012 onwards,Rented (social),Mains Gas,B,Yes,Nottingham,52.959,-1.168594
P0021,NG8 5NL,House,Mid-Terrace,1930-1949,Rented (social),Mains Gas,C,Yes,Nottingham,52.980562,-1.204924
P0022,NG5 5AQ,House,Detached,1967-1975,Owner-occupied,Mains Gas,D,Yes,Nottingham,53.011237,-1.178977
P0023,NG11 9AL,House,Mid-Terrace,1950-1966,Owner-occupied,Mains Gas,C,Yes,Nottingham,52.89899,-1.173175
P0025,NG6 0LW,House,Mid-Terrace,1900-1929,Rented (social),Mains Gas,C,Yes,Nottingham,52.9814,-1.191905
P0026,NG3 1AH,House,End-Terrace,1976-1982,Rented (social),Community Heating,C,No,Nottingham,52.960997,-1.148517
P0028,NG8 2JE,House,Semi-Detached,1983-1990,Rented (social),Mains Gas,C,Yes,Nottingham,52.951696,-1.243482
P0029,NG8 2GP,House,Semi-Detached,1950-1966,Rented (private),Mains Gas,C,Yes,Nottingham,52.950278,-1.232641
P0030,NG8 5PX,House,Semi-Detached,1930-1949,Owner-occupied,Mains Gas,C,Yes,Nottingham,52.977703,-1.207657
P0031,NG5 5FF,House,Mid-Terrace,1930-1949,Rented (social),Mains Gas,C,Yes,Nottingham,52.992594,-1.171434
P0032,NG6 7FQ,House,Semi-Detached,1976-1982,Owner-occupied,Mains Gas,C,Yes,Nottingham,53.005006,-1.21753
P0034,NG2 2HU,House,Mid-Terrace,1976-1982,Rented (social),Mains Gas,C,Yes,Nottingham,52.942562,-1.147614
P0035,NG6 0EA,House,Semi-Detached,1983-1990,Owner-occupied,Mains Gas,C,Yes,Nottingham,52.990806,-1.176742
P0036,NG7 6LQ,House,Mid-Terrace,1900-1929,Rented (social),Mains Gas,D,Yes,Nottingham,52.969526,-1.162168
P0037,NG11 7DA,House,Semi-Detached,1930-1949,Owner-occupied,Mains Gas,D,Yes,Nottingham,52.916921,-1.158587
P0038,NG5 5PT,House,Semi-Detached,1950-1966,Rented (social),Mains Gas,D,Yes,Nottingham,53.006853,-1.157495
P0039,NG3 3LL,House,Mid-Terrace,1900-1929,Owner-occupied,Mains Gas,D,Yes,Nottingham,52.966472,-1.132374
P0040,NG5 1JW,House,Semi-Detached,1930-1949,Owner-occupied,Electricity,D,Yes,Nottingham,52.982645,-1.171699
P0041,NG3 1HF,House,End-Terrace,1900-1929,Rented (private),Mains Gas,D,Yes,Nottingham,52.957336,-1.139479
P0043,NG3 7FP,House,Semi-Detached,1930-1949,Rented (social),Mains Gas,E,Yes,Nottingham,52.957726,-1.107033
P0044,NG6 0BA,House,Mid-Terrace,1900-1929,Rented (private),Mains Gas,C,Yes,Nottingham,52.987854,-1.183949
P0045,NG7 6PN,House,Mid-Terrace,1900-1929,Rented (social),Mains Gas,C,Yes,Nottingham,52.968178,-1.166139
P0048,NG8 3NF,House,Detached,1930-1949,Owner-occupied,Mains Gas,D,Yes,Nottingham,52.965088,-1.193698
P0049,NG8 5NA,House,Semi-Detached,1930-1949,Rented (social),Mains Gas,C,Yes,Nottingham,52.977596,-1.210444
P0051,NG3 3AG,House,Semi-Detached,1930-1949,Rented (social),Mains Gas,C,Yes,Nottingham,52.969259,-1.125111
P0053,NG8 6DB,House,End-Terrace,1930-1949,Rented (social),Mains Gas,C,Yes,Nottingham,52.98475,-1.206232
P0054,NG6 9FX,House,Mid-Terrace,before 1900,Rented (social),Mains Gas,C,Yes,Nottingham,52.999203,-1.187341
P0056,NG3 7AS,House,End-Terrace,1900-1929,Rented (private),Mains Gas,D,Yes,Nottingham,52.962223,-1.118196
P0057,NG6 8FH,House,Mid-Terrace,1967-1975,Owner-occupied,Mains Gas,C,Yes,Nottingham,52.995686,-1.200146
P0058,NG8 5JS,House,End-Terrace,1930-1949,Rented (social),Mains Gas,C,Yes,Nottingham,52.978151,-1.203345
P0059,NG5 1NY,House,Mid-Terrace,1900-1929,Owner-occupied,Mains Gas,D,Yes,Nottingham,52.988696,-1.166712
P0061,NG7 2JW,House,Detached,1900-1929,Rented (private),Mains Gas,D,Yes,Nottingham,52.939667,-1.182088
P0062,NG8 6FY,House,Mid-Terrace,1930-1949,Rented (social),Mains Gas,C,Yes,Nottingham,52.980128,-1.215433
P0063,NG8 6FQ,House,End-Terrace,1930-1949,Rented (social),Mains Gas,D,Yes,Nottingham,52.977613,-1.21165
P0064,NG7 5JT,House,Semi-Detached,1930-1949,Owner-occupied,Mains Gas,D,Yes,Nottingham,52.966253,-1.178832
P0065,NG5 5NF,House,End-Terrace,1950-1966,Rented (social),Mains Gas,C,Yes,Nottingham,53.003172,-1.156941
P0067,NG7 2JP,House,Semi-Detached,1930-1949,Owner-occupied,Mains Gas,D,Yes,Nottingham,52.938889,-1.185197
P0069,NG5 5SX,House,Semi-Detached,1950-1966,Rented (social),Mains Gas,D,Yes,Nottingham,53.001591,-1.149551
P0070,NG5 9JE,House,Mid-Terrace,1967-1975,Rented (social),Mains Gas,C,Yes,Nottingham,53.010434,-1.163119
P0071,NG8 6DG,House,End-Terrace,1930-1949,Rented (social),Mains Gas,D,Yes,Nottingham,52.986366,-1.207201
P0072,NG8 6JU,House,Semi-Detached,1930-1949,Rented (social),Mains Gas,C,Yes,Nottingham,52.978406,-1.218726
P0073,NG6 0HA,House,End-Terrace,1983-1990,Owner-occupied,Mains Gas,C,Yes,Nottingham,52.979111,-1.180599
P0075,NG8 5HR,House,End-Terrace,1930-1949,Rented (social),Mains Gas,C,Yes,Nottingham,52.976453,-1.194202
P0076,NG8 6BQ,House,Mid-Terrace,1930-1949,Rented (social),Mains Gas,D,Yes,Nottingham,52.982609,-1.211396
P0078,NG11 9NB,House,Mid-Terrace,1950-1966,Rented (social),Mains Gas,C,Yes,Nottingham,52.900209,-1.180466
P0079,NG7 5AX,House,Semi-Detached,1976-1982,Rented (social),Mains Gas,C,Yes,Nottingham,52.963698,-1.173342
