building_id,date,h00,h01,h02,h03,h04,h05,h06,h07,h08,h09,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23
Robin_assembly_Colleen,2016-01-01,0.4597,0.8871,0.8629,0.8145,0.8065,0.8145,0.8145,0.871,0.8952,0.9032,0.9435,1.0,0.9677,0.9919,0.9839,0.9919,0.9919,0.9758,0.9677,0.9758,0.9919,0.9919,0.9516,0.9597
Robin_assembly_Colleen,2016-01-02,0.4439,0.7347,0.551,0.5255,0.5153,0.5204,0.5153,0.5306,0.5459,0.5306,0.5561,0.9082,1.0,0.949,0.9388,0.9337,0.9541,0.9643,0.9541,0.5969,0.5714,0.5612,0.5612,0.5765
Robin_assembly_Colleen,2016-01-03,0.6044,0.6044,0.5879,0.5495,0.544,0.544,0.544,0.5275,0.533,0.5275,0.5769,0.8736,0.9945,0.956,1.0,0.9341,0.978,0.9725,0.9835,0.6648,0.6044,0.6154,0.6264,0.6209
Robin_assembly_Colleen,2016-01-04,0.4218,0.3673,0.3639,0.3333,0.3299,0.3537,0.5,0.6905,0.8197,0.915,0.8537,0.915,0.9932,0.9864,1.0,0.9626,0.9422,0.8401,0.881,0.8367,0.7687,0.7415,0.7619,0.585
Robin_assembly_Colleen,2016-01-05,0.4219,0.4,0.3844,0.3562,0.3531,0.3688,0.5438,0.6906,0.7375,0.8406,0.8219,0.9594,0.9875,0.9969,1.0,0.9562,0.8969,0.8,0.7938,0.7625,0.7156,0.7188,0.6781,0.5625
Robin_assembly_Colleen,2016-01-06,0.7751,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Robin_assembly_Colleen,2016-01-07,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Robin_assembly_Colleen,2016-01-08,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Robin_assembly_Colleen,2016-01-09,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Robin_assembly_Colleen,2016-01-10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Robin_assembly_Colleen,2016-01-11,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Robin_assembly_Colleen,2016-01-12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Robin_assembly_Colleen,2016-01-13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Robin_assembly_Colleen,2016-01-14,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Robin_assembly_Colleen,2016-01-15,0.507,0.5019,0.3613,0.3308,0.3232,0.3384,0.458,0.5802,0.6997,0.8346,0.8702,0.9389,0.9695,1.0,0.9949,0.9517,0.9618,0.8321,0.7837,0.7735,0.6616,0.6489,0.5725,0.4656
Robin_assembly_Colleen,2016-01-16,0.525,0.5071,0.5,0.4714,0.4643,0.4643,0.4786,0.6857,0.6821,0.6857,0.7536,0.825,0.8821,0.9393,0.9464,0.9429,0.9464,1.0,0.9929,0.9071,0.5857,0.5393,0.55,0.5464
Robin_assembly_Colleen,2016-01-17,0.5517,0.5594,0.5556,0.5211,0.5134,0.5211,0.5134,0.5134,0.5441,0.5556,0.7816,0.8659,0.9655,0.9655,0.977,0.9464,0.9579,0.9617,1.0,0.9464,0.6245,0.5594,0.5517,0.5364
Robin_assembly_Colleen,2016-01-18,0.3773,0.3618,0.3514,0.3307,0.3256,0.3411,0.4729,0.584,0.7261,0.7984,0.8062,0.9121,0.9716,0.9793,0.9922,1.0,0.9664,0.8837,0.8398,0.77,0.7674,0.7106,0.6382,0.4858
Robin_assembly_Colleen,2016-01-19,0.386,0.3782,0.3627,0.3627,0.3601,0.3756,0.5,0.6166,0.7202,0.7979,0.8472,0.9585,0.9456,0.943,1.0,0.9767,0.9378,0.8834,0.8549,0.8472,0.772,0.7513,0.671,0.5104
Robin_assembly_Colleen,2016-01-20,0.4689,0.2899,0.2879,0.2763,0.2782,0.2821,0.3794,0.4728,0.5584,0.6284,0.6362,0.6965,0.7004,0.7198,0.6984,0.6848,0.8035,0.8327,1.0,0.965,0.8366,0.6576,0.7237,0.6946
Robin_assembly_Colleen,2016-01-21,0.6328,0.4043,0.375,0.2559,0.2344,0.2402,0.3398,0.4414,0.6797,0.8633,0.9258,0.9785,0.8438,0.748,0.9297,1.0,0.9238,0.793,0.873,1.0,0.9785,0.7168,0.668,0.6973
Robin_assembly_Colleen,2016-01-22,0.608,0.3793,0.2486,0.2323,0.2323,0.2341,0.3358,0.4156,0.5318,0.8294,0.8621,0.9564,0.8947,0.735,0.9165,1.0,0.9474,0.6842,0.7931,0.8966,0.8276,0.6062,0.5644,0.6842
Robin_assembly_Colleen,2016-01-23,0.5053,0.4778,0.2706,0.2643,0.2622,0.2643,0.2664,0.408,0.6702,0.852,0.8309,0.9133,0.9619,1.0,0.7125,0.8837,0.9894,0.9683,0.9725,0.9767,0.74,0.3975,0.315,0.3044
Robin_assembly_Colleen,2016-01-24,0.3115,0.3093,0.3025,0.298,0.3025,0.298,0.3002,0.3205,0.4898,0.7675,0.8894,0.8826,1.0,0.9977,0.693,0.8352,0.9865,0.9955,0.9887,0.9571,0.5982,0.3431,0.3025,0.3025
Robin_assembly_Colleen,2016-01-25,0.4144,0.2452,0.2433,0.2395,0.2357,0.2452,0.3346,0.443,0.5057,0.8498,0.8688,0.8935,0.8004,0.6939,0.8726,0.9943,1.0,0.8118,0.8308,0.9316,0.8783,0.6863,0.7015,0.7072
Robin_assembly_Colleen,2016-01-26,0.4508,0.5549,0.3409,0.2595,0.2405,0.2519,0.3447,0.4394,0.5795,0.8826,0.9034,0.9602,0.8655,0.75,0.9375,0.928,1.0,0.9261,0.8182,0.9432,0.9186,0.8068,0.7936,0.6193
Robin_assembly_Colleen,2016-01-27,0.2607,0.2646,0.2549,0.2549,0.2529,0.2626,0.3444,0.4455,0.6031,0.8794,0.9066,0.7938,0.7276,0.8093,0.9981,1.0,0.786,0.8171,0.7198,0.5895,0.5253,0.5117,0.4377,0.3307
Robin_assembly_Colleen,2016-01-28,0.3293,0.322,0.2976,0.3024,0.3,0.3,0.422,0.5512,0.6683,0.978,0.8415,0.922,0.9463,0.9195,0.9537,0.922,0.9537,1.0,0.9122,0.8415,0.7146,0.7098,0.6341,0.4878
Robin_assembly_Colleen,2016-01-29,0.359,0.359,0.341,0.341,0.3436,0.3436,0.4769,0.6,0.7487,0.8949,0.8974,0.9359,0.9897,1.0,0.9949,0.9949,0.9615,0.9308,0.8462,0.7667,0.7051,0.6744,0.5744,0.441
Robin_assembly_Colleen,2016-01-30,0.4046,0.3931,0.3728,0.3613,0.3584,0.3497,0.3728,0.5867,0.7688,0.8064,0.8699,0.948,1.0,0.9595,0.9798,0.9971,0.9884,0.9364,0.7832,0.6763,0.4566,0.422,0.4277,0.4191
Robin_assembly_Colleen,2016-01-31,0.4792,0.4792,0.4722,0.4722,0.4688,0.4653,0.4653,0.4826,0.6042,0.6007,0.8958,0.9236,1.0,0.9583,0.9826,0.9931,0.9826,0.8715,0.8819,0.8576,0.5347,0.5035,0.5,0.4792
Robin_assembly_Colleen,2016-02-01,0.341,0.3486,0.3461,0.341,0.3384,0.3461,0.4631,0.5903,0.7481,0.8168,0.827,0.8728,0.944,0.9517,0.9517,0.9618,0.9873,1.0,0.8117,0.7684,0.715,0.6692,0.6005,0.4427
Robin_assembly_Colleen,2016-02-02,0.3681,0.3316,0.3238,0.329,0.3238,0.3342,0.4621,0.6214,0.7128,0.906,0.9556,1.0,0.9138,0.9008,0.9086,0.8773,0.9321,0.8877,0.8329,0.8016,0.7598,0.7232,0.658,0.5274
